film_id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm132273,Home,MOVIE,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015,PG,94,"['family', 'fantasy', 'comedy', 'animation', 'scifi']",['US'],-1.0,tt2224026,6.6,101975.0,50.179,6.8,Netflix
tm143085,Chappie,MOVIE,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",2015,R,120,"['crime', 'action', 'scifi', 'drama', 'thriller']","['MX', 'ZA', 'US']",-1.0,tt1823672,6.8,249345.0,117.369,6.8,Netflix
tm245271,Gantz:O,MOVIE,"Somewhere in Tokyo, there is a room. In that room is a black sphere. Periodically, people who should otherwise have died are transferred to the room. There, the sphere gives them special suits and weapons, and sends them out on a mission to kill aliens here on Earth. While these missions take place, the rest of the world is largely oblivious to them. These missions are lethal - few participants survive them. The sphere calls the shots, and it's not the slightest bit nice. Its name... Gantz.",2016,NC-17,95,"['scifi', 'action', 'animation', 'fantasy', 'thriller', 'horror', 'drama']",['JP'],-1.0,tt5923962,7.1,14950.0,28.818,7.3,Netflix
ts36046,BUNK'D,SHOW,"Siblings Emma, Ravi, and Zuri Ross leave their extravagant New York City penthouse once again to return to Camp Kikiwaka, a rustic summer camp in Maine where their parents met as teenagers.",2015,TV-G,24,"['comedy', 'drama', 'family']",['US'],6.0,tt4591680,5.3,3287.0,50.043,7.2,Netflix
tm135106,In a Valley of Violence,MOVIE,"The story of a drifter named Paul who arrives in a small town seeking revenge on the thugs who murdered his friend. Sisters Mary Anne and Ellen, who run the town's hotel, help Paul in his quest for vengeance.",2016,R,104,"['crime', 'thriller', 'western', 'action', 'drama']",['US'],-1.0,tt3608930,6.0,18987.0,13.597,6.1,Netflix
tm196296,A Monster Calls,MOVIE,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,2016,PG-13,108,"['drama', 'animation', 'family', 'fantasy', 'thriller', 'european']","['US', 'GB', 'ES']",-1.0,tt3416532,7.4,87806.0,84.977,7.2,Netflix
ts39007,Van Helsing,SHOW,"Vanessa Helsing, the daughter of famous vampire hunter and Dracula nemesis Abraham Van Helsing is resurrected five years in the future to find out that vampires have taken over the world and that she possesses unique power over them. She is humanity’s last hope to lead an offensive to take back what has been lost.",2016,TV-14,42,"['scifi', 'action', 'fantasy', 'horror', 'drama']",['US'],5.0,tt5197820,6.2,22172.0,95.708,7.1,Netflix
tm209987,Christine,MOVIE,"In the 1970s, a television reporter Christine Chubbuck struggles with depression and professional frustrations as she tries to advance her career.",2016,R,123,['drama'],['US'],-1.0,tt4666726,6.9,15146.0,11.1,6.8,Netflix
ts36545,Quantico,SHOW,"A diverse group of recruits has arrived at the FBI Quantico Base for training. They are the best, the brightest and the most vetted, so it seems impossible that one of them is suspected of masterminding the biggest attack on New York City since 9/11.",2015,TV-14,43,"['drama', 'thriller', 'crime']",['US'],3.0,tt4428122,6.6,60567.0,23.057,6.5,Netflix
tm219233,Loving,MOVIE,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti-miscegenation arrest for their marriage in Virginia led to a legal battle that would end at the US Supreme Court.",2016,PG-13,123,"['drama', 'romance']","['GB', 'US']",-1.0,tt4669986,7.0,34326.0,16.664,6.7,Netflix
ts42169,ERASED,SHOW,"Satoru Fujinuma is a struggling manga artist who has the ability to turn back time and prevent deaths. When his mother is killed he turns back time to solve the mystery, but ends up back in elementary school, just before the disappearance of his classmate Kayo.",2016,TV-14,22,"['drama', 'thriller', 'animation', 'fantasy', 'scifi']",['JP'],1.0,tt5249462,8.5,44643.0,25.494,8.7,Netflix
tm199700,The Danish Girl,MOVIE,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",2015,R,119,"['drama', 'romance', 'european']","['BE', 'DK', 'DE', 'GB', 'US']",-1.0,tt0810819,7.1,183579.0,21.369,7.6,Netflix
ts36856,F is for Family,SHOW,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",2015,TV-MA,27,"['comedy', 'drama', 'animation']",['US'],5.0,tt4326894,8.0,36562.0,18.906,7.3,Netflix
ts37971,Master of None,SHOW,"30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",2015,TV-MA,32,"['drama', 'comedy']",['US'],3.0,tt4635276,8.3,72881.0,11.678,7.6,Netflix
ts41490,Hap and Leonard,SHOW,"A darkly comic swamp noir story of two best friends set in the late 1980s. Based on the novels by Joe R. Lansdale, the series follows Hap Collins, an East Texas white boy with a weakness for Southern women, and Leonard Pine, a gay, black Vietnam vet with a hot temper.",2016,TV-MA,42,"['action', 'thriller', 'crime', 'drama']",['US'],3.0,tt3729898,7.6,7696.0,6.942,7.2,Netflix
ts41963,Easy,SHOW,"This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture. First dates, friends with benefits, couples with kids. Whatever your relationship status is, it's always complicated.",2016,TV-MA,30,"['drama', 'comedy']",['US'],3.0,tt5562056,6.9,13620.0,23.522,6.2,Netflix
ts37464,Occupied,SHOW,"In the near future, Norway is occupied by Russia on behalf of the European Union, due to the fact that the newly elected environmental friendly Norwegian government has stopped the all important oil- and gas-production in the North Sea.",2015,TV-MA,45,"['war', 'drama', 'thriller']",['NO'],3.0,tt4192998,7.6,9044.0,12.526,7.4,Netflix
tm233214,Under the Shadow,MOVIE,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.",2016,PG-13,84,"['war', 'drama', 'horror', 'thriller', 'fantasy']","['GB', 'IR', 'JO', 'QA']",-1.0,tt4273292,6.8,27337.0,9.878,6.5,Netflix
ts52838,3%,SHOW,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",2016,TV-MA,46,"['scifi', 'action', 'drama', 'thriller']",['BR'],4.0,tt4922804,7.3,25452.0,29.033,7.2,Netflix
ts41149,The Ranch,SHOW,"Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family.",2016,TV-MA,30,"['comedy', 'drama', 'western']",['US'],5.0,tt4998212,7.4,38420.0,25.365,7.5,Netflix
tm136483,The DUFF,MOVIE,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.",2015,PG-13,101,"['comedy', 'romance']",['US'],-1.0,tt1666801,6.4,93675.0,26.748,6.8,Netflix
ts53099,Bordertown,SHOW,"The story of DI Kari Sorjonen of the Serious Crime Unit in Lappeenranta, his family, and his investigations into a variety of harrowing homicides around the border area.",2016,TV-MA,59,"['drama', 'crime', 'european']",['FI'],3.0,tt4937942,7.6,10782.0,15.882,7.7,Netflix
tm134791,Unfriended,MOVIE,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.",2015,R,82,"['thriller', 'horror', 'drama']",['US'],-1.0,tt3713166,5.5,73854.0,26.429,5.5,Netflix
tm221740,Closet Monster,MOVIE,A creative and driven teenager is desperate to escape his hometown and the haunting memories of his turbulent childhood.,2016,unknown,90,"['drama', 'fantasy']",['CA'],-1.0,tt3638396,7.0,8239.0,10.868,7.1,Netflix
tm140843,Self/less,MOVIE,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,2015,PG-13,118,"['thriller', 'action', 'scifi', 'drama']",['US'],-1.0,tt2140379,6.5,98837.0,24.941,6.407,Netflix
ts38204,Making a Murderer,SHOW,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",2015,TV-14,62,"['documentation', 'crime']",['US'],2.0,tt5189670,8.6,94419.0,8.723,7.9,Netflix
tm219248,The Fundamentals of Caring,MOVIE,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",2016,R,97,"['comedy', 'drama']",['US'],-1.0,tt2452386,7.3,72083.0,14.985,7.326,Netflix
tm196125,"Hello, My Name Is Doris",MOVIE,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,2015,R,95,"['drama', 'comedy', 'romance']",['US'],-1.0,tt3766394,6.6,21105.0,13.528,6.4,Netflix
tm204035,Spectral,MOVIE,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,2016,PG-13,109,"['thriller', 'action', 'scifi']",['US'],-1.0,tt2106651,6.3,59040.0,30.663,6.43,Netflix
tm233521,Other People,MOVIE,"David, a struggling comedy writer fresh off from breaking up with his boyfriend, moves from New York City to Sacramento to help his sick mother. Living with his conservative father and much-younger sisters for the first time in ten years, he feels like a stranger in his childhood home. As his mother’s health declines, David frantically tries to extract meaning from this horrible experience and convince everyone (including himself) that he's ""doing okay.”",2016,unknown,97,"['drama', 'comedy']",['US'],-1.0,tt4158876,6.8,11418.0,5.903,6.4,Netflix
