person_id,name
27563,Mary Astor
65427,Lucille Bremer
65428,Leon Ames
65429,Tom Drake
65181,Marjorie Main
13316,Harry Davenport
65430,June Lockhart
65431,Henry H. Daniels Jr.
65432,Joan Carroll
53357,Hugh Marlowe
65433,Robert Sully
35551,Chill Wills
2019451,Sidney Barnes
2664485,Judi Blacque
60246,Victor Cox
36498,Donald Curtis
1794307,Danny Daniels
2664636,Kenneth Donner
567393,Mary Jo Ellis
152026,Helen Gilbert
94601,Buddy Gorman
50373,Gary Gray
33003,Sam Harris
18612,Darryl Hickman
2664505,Charlotte Hunter
134048,Victor Kilian
575462,Beverly Luff
53969,Matt Mattox
1591359,Bert May
516572,Belle Mitchell
1061940,Mayo Newhall
631750,Sid Newman
31161,Robert Emmett O'Connor
1539670,John Phipps
2664703,Ellen Ray
467165,Dorothy Raye
2664699,Beth Renner
18277,William Smith
2664570,Myron Tobias
572817,Dorothy Tuttle
207721,Leonard Walker
574297,Kenneth Wilson
28852,Vincente Minnelli
10548,Mel Blanc
46445,William Hanna
12876,June Foray
70127,Harry Lang
137924,Rudolf Ising
39141,Ben Washam
46444,Joseph Barbera
39140,Chuck Jones
107330,Abe Levitow
134981,Maurice Noble
13298,Vivien Leigh
13299,Clark Gable
13300,Olivia de Havilland
13303,Leslie Howard
13310,Hattie McDaniel
13301,Thomas Mitchell
13304,Barbara O'Neil
13305,Evelyn Keyes
13306,Ann Rutherford
13307,George Reeves
13308,Fred Crane
13311,Oscar Polk
13312,Butterfly McQueen
13346,Victor Jory
13345,Everett Brown
13344,Howard Hickman
13343,Alicia Rhett
13342,Rand Brooks
13341,Carroll Nye
13340,Laura Hope Crews
13339,Eddie 'Rochester' Anderson
13317,Leona Roberts
13336,Jane Darwell
13335,Ona Munson
13338,Paul Hurst
13337,Isabel Jewell
13318,Cammie King
13319,Eric Linden
13321,J. M. Kerrigan
13323,Ward Bond
13324,Jackie Moran
13325,Cliff Edwards
13326,Lillian Kemble-Cooper
13327,Yakima Canutt
13314,Marcella Martin
13328,Louis Jean Heydt
13329,Mickey Kuhn
13330,Olin Howland
13331,Irving Bacon
13332,Robert Elliott
13333,William Bakewell
13334,Mary Anderson
13347,John Albright
13349,Eric Alden
13351,John Arledge
13350,Roscoe Ates
13348,Trevor Bardette
13352,Lennie Bluett
13353,Ralph Brooks
13354,Daisy Bufford
13355,Ann Bupp
13356,James Bush
13357,Ruth Byers
13358,Gary Carlson
13361,Horace B. Carpenter
13360,Louise Carter
13359,Shirley Chambers
13362,Eddy Chandler
13363,Wallis Clark
13365,Richard Clucas
13364,Frank Coghlan Jr.
13366,Billy Cook
13368,Martina Cortina
13369,Luke Cosgrave
13370,Kernan Cripps
13371,Patrick Curtis
13373,Ned Davenport
13372,Yola d'Avril
13375,Lester Dorr
13374,Phyllis Douglas
13376,Joan Drake
13377,F. Driver
13378,Edythe Elliott
13379,Susan Falligant
13380,Richard Farnsworth
13381,Frank Faylen
13382,Kelly Griffin
13383,George Hackathorne
13384,Chuck Hamilton
13385,Evelyn Harding
13386,Inez Hatchett
13387,Jean Heker
13433,William Hoehne Jr.
13388,Ricky Holt
13389,Shep Houghton
13390,Jerry James
13391,Si Jenks
13392,Tommy Kelly
13393,Emmett King
13394,W. Kirby
13395,Timothy J. Lonergan
13396,Margaret Mann
13398,William McClain
13399,Charles Middleton
13401,Adrian Morris
13402,Lee Murray
13403,H. Nellman
13404,David Newell
13405,Naomi Pharr
13406,Lee Phelps
13407,Spencer Quinn
13409,Marjorie Reynolds
13411,Louisa Robert
13412,Azarene Rogers
13413,Scott Seaton
13414,Tom Seidel
13415,Terry Shero
13416,William Stack
13417,William Stelling
13418,Harry Strang
13419,Dirk Wayne Summers
13420,Emerson Treacy
13421,Phillip Trent
13422,Julia Ann Tuck
13423,Tom Tyler
13424,Dale Van Sickel
13425,E. Alyn Warren
13426,Blue Washington
81173,Rita Waterhouse
81174,John Joseph Waterman Jr.
13427,Dan White
13428,Sarah Whitley
13429,Ernest Whitman
13430,Guy Wilkerson
13431,Zack Williams
13432,John Wray
7781,Arthur Tovey
13440,Sam Wood
13439,George Cukor
1366,Lauren Bacall
23830,John Ridgely
23831,Martha Vickers
10445,Dorothy Malone
23832,Peggy Knudsen
23834,Regis Toomey
23833,Charles Waldron
23835,Charles D. Brown
23837,Bob Steele
23836,Elisha Cook Jr.
153884,Max Barwyn
567540,Deannie Best
565303,Tanis Chandler
83567,Jack Chefe
49071,James Conaty
20174,Joseph Crehan
23838,Sonia Darrin
61125,Jack Deery
1257871,Carole Douglas
74810,Jay Eaton
95865,Tom Fadden
14166,Bess Flowers
58321,Kenneth Gibson
569403,Joe Gilbert
22468,Stuart Hall
24020,Kenner G. Kemp
1257863,Pete Kooy
124431,Lorraine Miller
65718,Forbes Murray
1257977,Shelby Payne
28897,Jack Perry
973174,Tommy Rafferty
22484,Waclaw Rekwart
732001,Edward Rickard
22482,Jeffrey Sayre
33007,Emmett Vogan
67082,Theodore von Eltz
58346,Wally Walker
1257859,Paul Weber
105467,Ben Welden
23839,Howard Hawks
53491,William Powell
29993,Myrna Loy
32211,Maureen O'Sullivan
53499,Nat Pendleton
29999,Minna Gombell
27185,Porter Hall
108212,Henry Wadsworth
93415,William Henry
108213,Harold Huber
35451,Cesar Romero
108214,Natalie Moorhead
13765,Edward Brophy
108215,Edward Ellis
108216,Cyril Thornton
108217,William Augustin
93830,Polly Bailey
108218,Arthur Belasco
27214,Brooks Benedict
108219,Tui Bow
108220,Raymond Brown
108221,Ruth Channing
100212,Jack Cheatham
105440,Clay Clement
